,Date,Execution Group,Volume $m,PnL $k ($/M),PnL ($/M),week_end_str,week_end,realized_vol,vol_bucket,vol_pct,regime_penalty,neg_week,neg_streak,pct_change,large_drop,drawdown,drawdown_penalty,score_neg_week,score_streak,score_large_drop,score_drawdown,score_regime,risk_score,rolling_4w_pnl,median_pnl,structural_break,risk_flag
1,2025-08-10,Broker,340.5,54.8,161,,2025-08-10,0.12257981537870892,Med-High,0.61875,0.0,0,0.0,,0,,,0,0.0,0,,0.0,,,55.5,False,Monitor
9,2025-08-17,Broker,295.2,14.4,49,,2025-08-17,0.09254451136717295,Med-Low,0.45208333333333334,0.0,0,0.0,-0.6956521739130435,1,,,0,0.0,100,,0.0,,,55.5,False,Monitor
17,2025-08-24,Broker,339.4,42.4,125,,2025-08-24,0.13407696413924775,High,0.81875,0.0,0,0.0,1.5510204081632653,0,,,0,0.0,0,,0.0,,,55.5,False,Monitor
25,2025-08-31,Broker,469.2,31.4,67,,2025-08-31,0.0760143646578358,Med-Low,0.3854166666666667,0.0,0,0.0,-0.46399999999999997,0,-0.5838509316770186,0.5838509316770186,0,0.0,0,58.38509316770186,0.0,14.596273291925465,100.5,55.5,False,Normal
33,2025-09-07,Broker,405.9,82.6,204,,2025-09-07,0.11254485179518908,Med-High,0.5520833333333334,0.0,0,0.0,2.044776119402985,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,111.25,55.5,False,Normal
41,2025-09-14,Broker,397.4,63.4,160,,2025-09-14,0.052047756014870473,Low,0.15208333333333332,0.0,0,0.0,-0.21568627450980393,0,-0.21568627450980393,0.21568627450980393,0,0.0,0,21.568627450980394,0.0,5.392156862745098,139.0,55.5,False,Normal
49,2025-09-21,Broker,469.0,10.8,23,,2025-09-21,0.051538102904751144,Low,0.11875,0.0,0,0.0,-0.85625,1,-0.8872549019607843,0.8872549019607843,0,0.0,100,88.72549019607843,0.0,37.181372549019606,113.5,55.5,False,Monitor
57,2025-09-28,Broker,640.6,9.9,15,,2025-09-28,0.08544714786911968,Med-Low,0.41875,0.0,0,0.0,-0.34782608695652173,0,-0.9264705882352942,0.9264705882352942,0,0.0,0,92.64705882352942,0.0,23.161764705882355,100.5,55.5,False,Normal
65,2025-10-05,Broker,472.1,10.8,23,,2025-10-05,0.027786338240168466,Low,0.01875,0.0,0,0.0,0.5333333333333334,0,-0.8872549019607843,0.8872549019607843,0,0.0,0,88.72549019607843,0.0,22.181372549019606,55.25,55.5,True,Normal
73,2025-10-12,Broker,725.7,47.6,66,,2025-10-12,0.2080789483686624,High,0.9520833333333333,0.0,0,0.0,1.8695652173913042,0,-0.6764705882352942,0.6764705882352942,0,0.0,0,67.64705882352942,0.0,16.911764705882355,31.75,55.5,True,Normal
81,2025-10-19,Broker,560.7,-1.5,-3,,2025-10-19,0.13074188660283684,Med-High,0.71875,0.0,1,1.0,-1.0454545454545454,1,-1.0147058823529411,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,25.25,55.5,True,Implement Changes
89,2025-10-26,Broker,1821.1,352.5,194,,2025-10-26,0.10221926144940825,Med-Low,0.48541666666666666,0.0,0,0.0,-65.66666666666667,1,-0.049019607843137254,0.049019607843137254,0,0.0,100,4.901960784313726,0.0,16.225490196078432,70.0,55.5,False,Normal
97,2025-11-02,Broker,1231.2,139.0,113,,2025-11-02,0.12568346092075222,Med-High,0.6854166666666667,0.0,0,0.0,-0.41752577319587625,0,-0.4175257731958763,0.4175257731958763,0,0.0,0,41.75257731958763,0.0,10.438144329896907,92.5,55.5,False,Normal
105,2025-11-09,Broker,1006.5,52.2,52,,2025-11-09,0.11974632839262213,Med-High,0.5854166666666667,0.0,0,0.0,-0.5398230088495575,1,-0.7319587628865979,0.7319587628865979,0,0.0,100,73.19587628865979,0.0,33.29896907216495,89.0,55.5,False,Monitor
113,2025-11-16,Broker,955.4,50.4,53,,2025-11-16,0.1803096301382568,High,0.8854166666666666,0.0,0,0.0,0.019230769230769162,0,-0.7268041237113402,0.7268041237113402,0,0.0,0,72.68041237113401,0.0,18.170103092783503,103.0,55.5,False,Normal
120,2025-11-23,Broker,1170.0,98.9,85,,2025-11-23,0.16453235188057275,High,0.8520833333333333,0.0,0,0.0,0.6037735849056605,0,-0.5618556701030928,0.5618556701030928,0,0.0,0,56.18556701030928,0.0,14.04639175257732,75.75,55.5,False,Normal
128,2025-11-30,Broker,793.0,86.3,109,,2025-11-30,0.07060263901133174,Med-Low,0.28541666666666665,0.0,0,0.0,0.2823529411764707,0,-0.4381443298969072,0.4381443298969072,0,0.0,0,43.81443298969072,0.0,10.95360824742268,74.75,55.5,False,Normal
136,2025-12-07,Broker,1060.0,101.8,96,,2025-12-07,0.05395725477550715,Low,0.18541666666666667,0.0,0,0.0,-0.11926605504587151,0,-0.5051546391752577,0.5051546391752577,0,0.0,0,50.51546391752577,0.0,12.628865979381443,85.75,55.5,False,Normal
144,2025-12-14,Broker,964.0,68.6,71,,2025-12-14,0.10312133231479426,Med-High,0.51875,0.0,0,0.0,-0.26041666666666663,0,-0.634020618556701,0.634020618556701,0,0.0,0,63.4020618556701,0.0,15.850515463917525,90.25,55.5,False,Normal
152,2025-12-21,Broker,933.0,46.9,50,,2025-12-21,0.13353524112466286,High,0.7854166666666667,0.0,0,0.0,-0.295774647887324,0,-0.5575221238938053,0.5575221238938053,0,0.0,0,55.75221238938053,0.0,13.938053097345133,81.5,55.5,False,Normal
160,2025-12-28,Broker,756.0,-20.8,-27,,2025-12-28,0.04515618822067395,Low,0.052083333333333336,0.0,1,1.0,-1.54,1,-1.2477064220183487,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,47.5,55.5,True,Implement Changes
168,2026-01-04,Broker,859.0,17.9,21,,2026-01-04,0.06157134959244902,Low,0.2520833333333333,0.0,0,0.0,-1.7777777777777777,1,-0.8073394495412844,0.8073394495412844,0,0.0,100,80.73394495412845,0.0,35.18348623853211,28.75,55.5,True,Monitor
176,2026-01-11,Broker,1190.0,17.6,15,,2026-01-11,0.0725203710624446,Med-Low,0.35208333333333336,0.0,0,0.0,-0.2857142857142857,0,-0.8623853211009175,0.8623853211009175,0,0.0,0,86.23853211009175,0.0,21.55963302752294,14.75,55.5,True,Normal
184,2026-01-18,Broker,1010.0,46.8,46,,2026-01-18,0.0495294057848957,Low,0.08541666666666667,0.0,0,0.0,2.066666666666667,0,-0.5779816513761468,0.5779816513761468,0,0.0,0,57.798165137614674,0.0,14.449541284403669,13.75,55.5,True,Normal
193,2026-01-25,Broker,1384.0,-6.0,-4,,2026-01-25,0.22212190880040766,High,0.9854166666666667,0.0,1,1.0,-1.0869565217391304,1,-1.0416666666666667,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,19.5,55.5,True,Implement Changes
201,2026-02-01,Broker,1433.0,129.8,91,,2026-02-01,0.06126546435243693,Low,0.21875,0.0,0,0.0,-23.75,1,0.0,0.0,0,0.0,100,0.0,0.0,15.0,37.0,55.5,True,Normal
209,2026-02-08,Broker,1354.0,-19.5,-14,,2026-02-08,0.20442884456306462,High,0.91875,0.0,1,1.0,-1.1538461538461537,1,-1.1538461538461537,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,29.75,55.5,True,Implement Changes
217,2026-02-15,Broker,1316.0,35.2,27,,2026-02-15,0.12302020049365062,Med-High,0.6520833333333333,0.0,0,0.0,-2.928571428571429,1,-0.7032967032967034,0.7032967032967034,0,0.0,100,70.32967032967034,0.0,32.582417582417584,25.0,55.5,True,Monitor
225,2026-02-22,Broker,907.0,112.7,124,,2026-02-22,0.07067643705287521,Med-Low,0.31875,0.0,0,0.0,3.5925925925925926,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,57.0,55.5,False,Normal
233,2026-03-01,Broker,582.0,33.5,58,,2026-03-01,0.13198920424946017,Med-High,0.7520833333333333,0.0,0,0.0,-0.532258064516129,1,-0.532258064516129,0.532258064516129,0,0.0,100,53.2258064516129,0.0,28.306451612903224,48.75,55.5,True,Normal
2,2025-08-10,Catch all,3683.8,368.4,100,,2025-08-10,0.12257981537870892,Med-High,0.61875,0.0,0,0.0,,0,,,0,0.0,0,,0.0,,,86.5,False,Monitor
10,2025-08-17,Catch all,3483.9,316.5,91,,2025-08-17,0.09254451136717295,Med-Low,0.45208333333333334,0.0,0,0.0,-0.08999999999999997,0,,,0,0.0,0,,0.0,,,86.5,False,Monitor
18,2025-08-24,Catch all,4135.7,439.0,106,,2025-08-24,0.13407696413924775,High,0.81875,0.0,0,0.0,0.16483516483516492,0,,,0,0.0,0,,0.0,,,86.5,False,Monitor
26,2025-08-31,Catch all,4606.8,423.8,92,,2025-08-31,0.0760143646578358,Med-Low,0.3854166666666667,0.0,0,0.0,-0.13207547169811318,0,-0.1320754716981132,0.1320754716981132,0,0.0,0,13.20754716981132,0.0,3.30188679245283,97.25,86.5,False,Normal
34,2025-09-07,Catch all,5568.2,721.0,129,,2025-09-07,0.11254485179518908,Med-High,0.5520833333333334,0.0,0,0.0,0.40217391304347827,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,104.5,86.5,False,Normal
42,2025-09-14,Catch all,5465.0,516.1,94,,2025-09-14,0.052047756014870473,Low,0.15208333333333332,0.0,0,0.0,-0.2713178294573644,0,-0.2713178294573643,0.2713178294573643,0,0.0,0,27.131782945736433,0.0,6.782945736434108,105.25,86.5,False,Normal
50,2025-09-21,Catch all,5091.9,496.5,98,,2025-09-21,0.051538102904751144,Low,0.11875,0.0,0,0.0,0.042553191489361764,0,-0.24031007751937986,0.24031007751937986,0,0.0,0,24.031007751937985,0.0,6.007751937984496,103.25,86.5,False,Normal
58,2025-09-28,Catch all,6922.5,715.1,103,,2025-09-28,0.08544714786911968,Med-Low,0.41875,0.0,0,0.0,0.05102040816326525,0,-0.20155038759689922,0.20155038759689922,0,0.0,0,20.155038759689923,0.0,5.038759689922481,106.0,86.5,False,Normal
66,2025-10-05,Catch all,8904.7,536.0,60,,2025-10-05,0.027786338240168466,Low,0.01875,0.0,0,0.0,-0.41747572815533984,0,-0.5348837209302325,0.5348837209302325,0,0.0,0,53.48837209302325,0.0,13.372093023255813,88.75,86.5,False,Normal
74,2025-10-12,Catch all,9417.8,264.8,28,,2025-10-12,0.2080789483686624,High,0.9520833333333333,0.0,0,0.0,-0.5333333333333333,1,-0.7829457364341085,0.7829457364341085,0,0.0,100,78.29457364341084,0.0,34.57364341085271,72.25,86.5,True,Monitor
82,2025-10-19,Catch all,9099.9,377.5,41,,2025-10-19,0.13074188660283684,Med-High,0.71875,0.0,0,0.0,0.4642857142857142,0,-0.6821705426356589,0.6821705426356589,0,0.0,0,68.21705426356588,0.0,17.05426356589147,58.0,86.5,True,Normal
90,2025-10-26,Catch all,6268.7,928.1,148,,2025-10-26,0.10221926144940825,Med-Low,0.48541666666666666,0.0,0,0.0,2.6097560975609757,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,69.25,86.5,True,Normal
98,2025-11-02,Catch all,7225.6,617.5,85,,2025-11-02,0.12568346092075222,Med-High,0.6854166666666667,0.0,0,0.0,-0.42567567567567566,0,-0.42567567567567566,0.42567567567567566,0,0.0,0,42.567567567567565,0.0,10.641891891891891,75.5,86.5,True,Normal
106,2025-11-09,Catch all,7514.0,954.3,127,,2025-11-09,0.11974632839262213,Med-High,0.5854166666666667,0.0,0,0.0,0.49411764705882355,0,-0.14189189189189189,0.14189189189189189,0,0.0,0,14.18918918918919,0.0,3.5472972972972974,100.25,86.5,False,Normal
114,2025-11-16,Catch all,6705.5,512.3,76,,2025-11-16,0.1803096301382568,High,0.8854166666666666,0.0,0,0.0,-0.40157480314960625,0,-0.4864864864864865,0.4864864864864865,0,0.0,0,48.64864864864865,0.0,12.162162162162163,109.0,86.5,False,Normal
127,2025-11-23,Catch all,4780.0,417.3,87,,2025-11-23,0.16453235188057275,High,0.8520833333333333,0.0,0,0.0,0.14473684210526305,0,-0.41216216216216217,0.41216216216216217,0,0.0,0,41.21621621621622,0.0,10.304054054054054,93.75,86.5,False,Normal
135,2025-11-30,Catch all,5870.0,505.5,86,,2025-11-30,0.07060263901133174,Med-Low,0.28541666666666665,0.0,0,0.0,-0.011494252873563204,0,-0.4189189189189189,0.4189189189189189,0,0.0,0,41.891891891891895,0.0,10.472972972972974,94.0,86.5,False,Normal
143,2025-12-07,Catch all,8200.0,602.6,74,,2025-12-07,0.05395725477550715,Low,0.18541666666666667,0.0,0,0.0,-0.13953488372093026,0,-0.5,0.5,0,0.0,0,50.0,0.0,12.5,80.75,86.5,True,Normal
151,2025-12-14,Catch all,6800.0,492.0,72,,2025-12-14,0.10312133231479426,Med-High,0.51875,0.0,0,0.0,-0.027027027027026973,0,-0.5135135135135135,0.5135135135135135,0,0.0,0,51.35135135135135,0.0,12.837837837837837,79.75,86.5,True,Normal
159,2025-12-21,Catch all,6010.0,648.0,108,,2025-12-21,0.13353524112466286,High,0.7854166666666667,0.0,0,0.0,0.5,0,-0.14960629921259844,0.14960629921259844,0,0.0,0,14.960629921259844,0.0,3.740157480314961,85.0,86.5,True,Normal
167,2025-12-28,Catch all,4360.0,119.5,27,,2025-12-28,0.04515618822067395,Low,0.052083333333333336,0.0,0,0.0,-0.75,1,-0.7874015748031497,0.7874015748031497,0,0.0,100,78.74015748031496,0.0,34.68503937007874,70.25,86.5,True,Monitor
175,2026-01-04,Catch all,4720.0,375.3,80,,2026-01-04,0.06157134959244902,Low,0.2520833333333333,0.0,0,0.0,1.9629629629629628,0,-0.25925925925925924,0.25925925925925924,0,0.0,0,25.925925925925924,0.0,6.481481481481481,71.75,86.5,True,Normal
183,2026-01-11,Catch all,6990.0,249.0,36,,2026-01-11,0.0725203710624446,Med-Low,0.35208333333333336,0.0,0,0.0,-0.55,1,-0.6666666666666666,0.6666666666666666,0,0.0,100,66.66666666666666,0.0,31.666666666666664,62.75,86.5,True,Monitor
191,2026-01-18,Catch all,7000.0,549.3,78,,2026-01-18,0.0495294057848957,Low,0.08541666666666667,0.0,0,0.0,1.1666666666666665,0,-0.2777777777777778,0.2777777777777778,0,0.0,0,27.77777777777778,0.0,6.944444444444445,55.25,86.5,True,Normal
194,2026-01-25,Catch all,7314.0,194.0,27,,2026-01-25,0.22212190880040766,High,0.9854166666666667,0.0,0,0.0,-0.6538461538461539,1,-0.75,0.75,0,0.0,100,75.0,0.0,33.75,55.25,86.5,True,Monitor
202,2026-02-01,Catch all,6900.0,544.9,79,,2026-02-01,0.06126546435243693,Low,0.21875,0.0,0,0.0,1.925925925925926,0,-0.26851851851851855,0.26851851851851855,0,0.0,0,26.851851851851855,0.0,6.712962962962964,55.0,86.5,True,Normal
210,2026-02-08,Catch all,5000.0,725.4,145,,2026-02-08,0.20442884456306462,High,0.91875,0.0,0,0.0,0.8354430379746836,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,82.25,86.5,True,Normal
218,2026-02-15,Catch all,5885.0,708.9,120,,2026-02-15,0.12302020049365062,Med-High,0.6520833333333333,0.0,0,0.0,-0.1724137931034483,0,-0.1724137931034483,0.1724137931034483,0,0.0,0,17.24137931034483,0.0,4.310344827586207,92.75,86.5,False,Normal
226,2026-02-22,Catch all,6250.0,1009.9,162,,2026-02-22,0.07067643705287521,Med-Low,0.31875,0.0,0,0.0,0.3500000000000001,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,126.5,86.5,False,Normal
234,2026-03-01,Catch all,3312.0,275.0,83,,2026-03-01,0.13198920424946017,Med-High,0.7520833333333333,0.0,0,0.0,-0.48765432098765427,0,-0.4876543209876543,0.4876543209876543,0,0.0,0,48.76543209876543,0.0,12.191358024691358,127.5,86.5,False,Normal
3,2025-08-10,Don't B book,2700.6,283.4,105,,2025-08-10,0.12257981537870892,Med-High,0.61875,0.0,0,0.0,,0,,,0,0.0,0,,0.0,,,84.5,False,Monitor
11,2025-08-17,Don't B book,2578.1,218.0,85,,2025-08-17,0.09254451136717295,Med-Low,0.45208333333333334,0.0,0,0.0,-0.19047619047619047,0,,,0,0.0,0,,0.0,,,84.5,False,Monitor
19,2025-08-24,Don't B book,3254.0,328.7,101,,2025-08-24,0.13407696413924775,High,0.81875,0.0,0,0.0,0.18823529411764706,0,,,0,0.0,0,,0.0,,,84.5,False,Monitor
27,2025-08-31,Don't B book,2808.9,188.5,67,,2025-08-31,0.0760143646578358,Med-Low,0.3854166666666667,0.0,0,0.0,-0.3366336633663366,0,-0.3619047619047619,0.3619047619047619,0,0.0,0,36.19047619047619,0.0,9.047619047619047,89.5,84.5,False,Normal
35,2025-09-07,Don't B book,2428.1,262.4,108,,2025-09-07,0.11254485179518908,Med-High,0.5520833333333334,0.0,0,0.0,0.6119402985074627,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,90.25,84.5,False,Normal
43,2025-09-14,Don't B book,2471.1,294.5,119,,2025-09-14,0.052047756014870473,Low,0.15208333333333332,0.0,0,0.0,0.10185185185185186,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,98.75,84.5,False,Normal
51,2025-09-21,Don't B book,2604.4,159.9,61,,2025-09-21,0.051538102904751144,Low,0.11875,0.0,0,0.0,-0.4873949579831933,0,-0.48739495798319327,0.48739495798319327,0,0.0,0,48.739495798319325,0.0,12.184873949579831,88.75,84.5,False,Normal
59,2025-09-28,Don't B book,2272.5,142.3,63,,2025-09-28,0.08544714786911968,Med-Low,0.41875,0.0,0,0.0,0.032786885245901676,0,-0.47058823529411764,0.47058823529411764,0,0.0,0,47.05882352941176,0.0,11.76470588235294,87.75,84.5,False,Normal
67,2025-10-05,Don't B book,2057.5,184.5,90,,2025-10-05,0.027786338240168466,Low,0.01875,0.0,0,0.0,0.4285714285714286,0,-0.24369747899159663,0.24369747899159663,0,0.0,0,24.369747899159663,0.0,6.092436974789916,83.25,84.5,True,Normal
75,2025-10-12,Don't B book,2945.9,192.5,65,,2025-10-12,0.2080789483686624,High,0.9520833333333333,0.0,0,0.0,-0.2777777777777778,0,-0.453781512605042,0.453781512605042,0,0.0,0,45.378151260504204,0.0,11.344537815126051,69.75,84.5,True,Normal
83,2025-10-19,Don't B book,2139.2,150.0,70,,2025-10-19,0.13074188660283684,Med-High,0.71875,0.0,0,0.0,0.07692307692307687,0,-0.4117647058823529,0.4117647058823529,0,0.0,0,41.17647058823529,0.0,10.294117647058822,72.0,84.5,True,Normal
